City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount gambier,-37.8333,140.7667,286.56,64,100,4.84,AU,1682638779
1,uhlove,44.8215,33.6045,284.27,93,100,5.53,UA,1682638780
2,hofn,64.2539,-15.2082,272.96,55,83,3.43,IS,1682638783
3,port hardy,50.6996,-127.4199,287.25,58,40,1.54,CA,1682638635
4,cape town,-33.9258,18.4232,290.03,88,2,0.89,ZA,1682638147
5,pisco,-13.7,-76.2167,295.18,83,0,7.72,PE,1682638784
6,rikitea,-23.1203,-134.9692,297.54,61,30,2.25,PF,1682638785
7,goure,13.9835,10.2704,301.38,16,67,1.29,NE,1682638786
8,sur,22.5667,59.5289,300.43,71,2,1.24,OM,1682638787
9,cherskiy,68.75,161.3,265.74,84,75,1.97,RU,1682638788
10,albany,42.6001,-73.9662,287.38,59,41,1.04,US,1682638788
11,victoria,22.2855,114.1577,296.46,89,100,4.02,HK,1682638682
12,juneau,58.3019,-134.4197,277.82,95,100,7.2,US,1682638521
13,seoul,37.5683,126.9778,286.91,62,0,2.57,KR,1682638603
14,mataura,-46.1927,168.8643,284.53,66,17,0.54,NZ,1682638790
15,valdivia,-39.8142,-73.2459,288.2,96,100,1.42,CL,1682638791
16,karpogory,64.0019,44.4451,266.7,96,55,2.39,RU,1682638792
17,ilulissat,69.2167,-51.1,272.16,86,0,2.06,GL,1682638792
18,saint-pierre,-21.3393,55.4781,294.97,83,100,3.09,RE,1682638793
19,northam,51.0333,-4.2167,285.03,97,100,8.64,GB,1682638793
20,lavrentiya,65.5833,-171.0,265.16,76,90,9.42,RU,1682638794
21,aklavik,68.2191,-135.0107,262.15,67,75,4.63,CA,1682638795
22,katsuura,35.1333,140.3,292.27,63,27,7.05,JP,1682638795
23,ancud,-41.8697,-73.8203,286.14,94,100,4.99,CL,1682638796
24,innisfail,-17.5333,146.0333,299.36,79,64,3.64,AU,1682638796
25,quatre cocos,-20.2078,57.7625,297.09,77,89,7.4,MU,1682638797
26,port alfred,-33.5906,26.891,289.92,87,87,0.45,ZA,1682638798
27,nabire,-3.3667,135.4833,300.57,76,65,0.78,ID,1682638798
28,east london,-33.0153,27.9116,293.37,70,90,2.92,ZA,1682638799
29,mitsamiouli,-11.3847,43.2844,300.93,75,10,4.11,KM,1682638799
30,ous,60.9058,61.5186,272.71,78,94,5.35,RU,1682638800
31,lompoc,34.6391,-120.4579,299.83,80,75,2.24,US,1682638802
32,ponta do sol,32.6667,-17.1,295.38,64,33,1.33,PT,1682638803
33,kavaratti,10.5669,72.642,301.37,72,93,1.84,IN,1682638805
34,san andres,12.5847,-81.7006,302.16,65,20,2.57,CO,1682638593
35,manado,1.487,124.8455,301.58,83,40,0.51,ID,1682638806
36,ushuaia,-54.8,-68.3,276.96,81,40,8.75,AR,1682638807
37,punta arenas,-53.15,-70.9167,278.21,65,0,6.17,CL,1682638798
38,bambous virieux,-20.3428,57.7575,297.16,94,40,1.54,MU,1682638808
39,ardahan,41.1087,42.7022,277.6,88,45,3.83,TR,1682638809
40,dehloran,32.6941,47.2679,298.46,23,1,2.45,IR,1682638810
41,georgetown,5.4112,100.3354,300.11,93,20,2.06,MY,1682638594
42,hillsborough,37.5741,-122.3794,306.64,66,40,8.23,US,1682638811
43,boksitogorsk,59.474,33.8485,282.37,93,100,2.25,RU,1682638812
44,nikolskoye,59.7035,30.7861,277.09,95,100,3.7,RU,1682638812
45,saurimo,-9.6608,20.3916,289.14,75,18,2.1,AO,1682638813
46,busselton,-33.65,115.3333,285.81,71,62,1.65,AU,1682638814
47,astaneh-ye ashrafiyeh,37.2596,49.9444,290.11,93,5,0.65,IR,1682638814
48,kannangad,12.3081,75.1063,297.78,87,31,1.77,IN,1682638815
49,sitka,57.0531,-135.33,280.09,81,100,6.17,US,1682638816
50,upernavik,72.7868,-56.1549,261.81,94,51,5.31,GL,1682638817
51,butaritari,3.0707,172.7902,301.54,78,74,6.82,KI,1682638818
52,saint-philippe,-21.3585,55.7679,294.92,79,49,4.53,RE,1682638819
53,xuddur,4.1213,43.8894,298.33,75,100,5.16,SO,1682638820
54,vaini,-21.2,-175.2,299.24,94,100,7.72,TO,1682638821
55,mahajanga,-15.7167,46.3167,298.16,94,40,1.54,MG,1682638612
56,gazojak,41.1875,61.4036,293.53,14,2,3.03,TM,1682638656
57,tarragona,41.129,1.249,290.59,85,100,1.03,ES,1682638822
58,arraial do cabo,-22.9661,-42.0278,297.13,88,20,4.63,BR,1682638823
59,lebu,-37.6167,-73.65,287.74,93,100,5.37,CL,1682638824
60,clyde river,70.4692,-68.5914,265.28,93,100,5.14,CA,1682638824
61,truth or consequences,33.1284,-107.2528,301.99,9,0,3.6,US,1682638677
62,severo-kurilsk,50.6789,156.125,273.58,90,100,20.94,RU,1682638826
63,yellowknife,62.456,-114.3525,279.44,70,75,7.2,CA,1682638774
64,port elizabeth,-33.918,25.5701,291.54,92,40,2.57,ZA,1682638827
65,ribeira grande,38.5167,-28.7,289.69,87,13,5.81,PT,1682638828
66,lazaro cardenas,17.9583,-102.2,300.7,57,100,4.64,MX,1682638829
67,north bend,43.4065,-124.2243,298.84,71,0,9.77,US,1682638829
68,new norfolk,-42.7826,147.0587,293.1,55,27,0.89,AU,1682638830
